Current LGU: LGU Name,LARA Business ID,Account Name,DBA,Address,Type,Status
ADA TWP,0273384,"ADA GARAGE BAR & GRILL, LLC",ADA GARAGE BAR & GRILL,"518 ADA Dr SE, ADA, MI 49301-9024 United States",Social District,Issued
ADA TWP,166116,"BOX OFFICE HITS VIDEO, INC.",ZEYTIN,"7437 River St SE, ADA, MI 49301-8522 United States",Social District,Issued
ADA TWP,238573,"FLORENCE PROPERTIES, LLC",NONNA CAFE,"584 ADA Dr SE, ADA, MI 49301-9292",Social District,Issued
ADA TWP,0270606,GRACE COFFEE LLC,MUDPENNY,"496 ADA Dr SE, ADA, MI 49301-9105 United States",Social District,Issued
ADA TWP,0269302,"LUNA 7471, LLC",LUNA OF ADA,"7471 River St SE, ADA, MI 49301-8522 United States",Social District,Issued
ADA TWP,232083,"MICHIELS BREWING, LLC",GRAVEL BOTTOM CRAFT BREWERY,"452 ADA Dr SE, ADA, MI 49301-9177 United States",Social District,Issued
ADA TWP,142371,"SKILLETHEAD, INC.",SKILLETHEAD'S SCHMITZ EAST DELI,"597 ADA Dr SE, ADA, MI 49301-9292",Social District,Issued
ADRIAN CITY,228826,AEM HOLDINGS LLC,HOOLIGAN'S GRILL,"113 E Maumee St, Adrian, MI 49221-2703",Social District,Issued
ADRIAN CITY,0261818,"CHALONER'S CIGAR HOUSE, LLC",,"110 W Maumee St, Adrian, MI 49221-2020 United States",Social District,Issued
ADRIAN CITY,239947,CHOMP BURGER LLC,CHOMP BURGER,"240 N Main St, Adrian, MI 49221-2713",Social District,Issued
ADRIAN CITY,5524,"CLUB 109, INC.",CLUB 109,"109 S Main St, Adrian, MI 49221-2623",Social District,Issued
ADRIAN CITY,226342,COTTON BREWING COMPANY LLC,,"101 E Maumee St, Adrian, MI 49221-2703 United States",Social District,Issued
ADRIAN CITY,248577,CROSWELL OPERA HOUSE AND FINE ARTS ASSOCIATION,CROSWELL OPERA HOUSE & FINE ARTS ASSOCIATION,"129 E MAUMEE ST, ADRIAN, MI 49221-2763 United States",Social District,Issued
ADRIAN CITY,8544,LOYAL ORDER OF MOOSE LODGE NO. 1034,LOYAL ORDER OF MOOSE LODGE NO. 1034,"111 S Main St, Adrian, MI 49221-2623 United States",Social District,Issued
ADRIAN CITY,0266589,MAMMOTH DISTILLING LLC,,"108 E Maumee St, Adrian, MI 49221-2704 United States",Social District,Issued
ADRIAN CITY,100167,"RANDY P. HILL POST 1957, AMVETS","RANDY P. HILL POST 1957, AMVETS","124 N Main St, Adrian, MI 49221-2745",Social District,Issued
ADRIAN CITY,223225,"SAUCE ITALIAN GRILL & PUB, LLC",SAUCE ITALIAN GRILL & PUB,"149 N Main St, Adrian, MI 49221-2711",Social District,Issued
ADRIAN CITY,231726,"THE BRICK WALL PUB & GRILL, INC","THE BRICK WALL PUB & GRILL, INC","114 W Maumee St, Adrian, MI 49221-2020",Social District,Issued
ADRIAN CITY,3384,"THE GRASSHOPPER / EL CHAPULIN RESTAURANT, INC.",THE GRASSHOPPER,"118 S Winter St, Adrian, MI 49221-2618",Social District,Issued
ALLEGAN CITY,153397,"FRATERNAL ORDER OF EAGLES #2315, ALLEGAN, MICHIGAN AREA","FRATERNAL ORDER OF EAGLES #2315, ALLEGAN, MICHIGAN AREA","110 Chestnut St, Allegan, MI 49010-1314",Social District,Issued
ALLEGAN CITY,262028,"SCHAENDORF BREWING COMPANY, LLC",,"412 Water St, Allegan, MI 49010-1309 United States",Social District,Issued
ALLEGAN CITY,3540,"SHERWOOD'S COVE, INC.",SHERWOOD'S COVE,"132 Brady St, Allegan, MI 49010-1313",Social District,Issued
ALLEGAN CITY,0268831,TANTRICK BREWING CO. LLC,TANTRICK BREWING,"243 Hubbard St, Allegan, MI 49010-1320 United States",Social District,Issued
